,NAICS4,d_import
0,1111,-69843598.5
1,1112,-79094392.16666667
2,1113,13602699.0
3,1114,-2219890.0
4,1119,-20664204.499999993
5,1124,15597.0
6,1129,-224823.0
7,1132,28712696.583333313
8,1133,1259757.0
9,1141,-97947717.5
10,2111,-81486744.0
11,2121,-5534202.0
12,2122,-11692288.0
13,2123,-15519044.0
14,3111,-234895417.25
15,3112,168072418.17857146
16,3113,136689281.3285714
17,3114,-850807469.5880953
18,3115,28198076.828571424
19,3116,9347162.5
20,3117,-202555439.0
21,3118,-6934236.666666664
22,3119,50198193.16190475
23,3121,63718491.42857143
24,3122,16411600.0
25,3131,11292207.0
26,3132,453023428.25
27,3133,-16606403.0
28,3141,3893874904.75
29,3149,323730911.0666666
30,3151,1269244996.3333333
31,3152,-5116548698.333336
32,3159,-2384770100.8499994
33,3161,-498607324.1666667
34,3162,-4008145497.5
35,3169,-2368846677.1000004
36,3211,-42012712.400000006
37,3212,-1028475247.4
38,3219,357647657.16666675
39,3221,87251715.5
40,3222,1684779034.5000005
41,3231,871710836.5
42,3241,78918930.5
43,3251,-106759722.25
44,3252,-80336311.5
45,3253,-109754113.5
46,3254,1497731704.2452378
47,3255,16397733.5
48,3256,341349144.5
49,3259,-150482310.25
50,3261,3450221244.833334
51,3262,-1804522169.2666664
52,3271,224655889.8333335
53,3272,1078749687.833333
54,3273,-198860691.0
55,3274,3581022.0
56,3279,179626926.58333325
57,3311,-1005110638.3
58,3312,298895974.20000005
59,3313,-51458368.666666746
60,3314,-229425114.16666663
61,3315,451515105.23333335
62,3321,185615937.89999998
63,3322,2216561535.2499995
64,3323,150109945.33333325
65,3324,674298739.3333335
66,3325,501155072.9166665
67,3326,-54300717.51666665
68,3327,390891432.16666675
69,3329,462645829.3500004
70,3331,1944701641.166666
71,3332,4016602763.8999996
72,3333,532222215.9000001
73,3334,597633534.1666665
74,3335,357962384.00000024
75,3336,-306330913.333333
76,3339,3568468510.4833336
77,3341,-15152250547.833336
78,3342,8599944524.066666
79,3343,-4340348683.933334
80,3344,-4303882573.283337
81,3345,-423192915.3666668
82,3346,2092806422.6666667
83,3351,1984173889.999999
84,3352,4349787657.166666
85,3353,3130718849.0
86,3359,4300488508.483334
87,3361,541409928.0
88,3362,1185793244.7499998
89,3363,3435175373.750001
90,3364,397643810.8333335
91,3365,942714.0
92,3366,87827373.0
93,3369,604493766.45
94,3371,1076925605.583334
95,3372,-160334006.5833335
96,3379,507774509.0
97,3391,2281303022.75
98,3399,3095554747.6333313
99,5112,
100,9100,-10726185.166666657
101,9200,
102,9300,
103,9900,-1210197978.3333333
