"zone","L_r0_filt","L_r1_filt","delta_lnL","IPW","IPW_OC"
"Alsace",753100,809900,0.0727127621476384,1.82905979748968,6.79066634431519
"Aquitaine",1139500,1308000,0.137909683331404,0.95873816180288,3.52749755137065
"Auvergne",483900,526500,0.0843730577747586,1.55117105706182,5.72580480135648
"Basse-Normandie",475000,585700,0.209492909061096,1.31075635592073,4.82605187609934
"Bourgogne",617400,661100,0.0683880022714742,1.4659427167191,5.41978008303469
"Bretagne",1148700,1247900,0.0828312703624494,1.28951375127546,4.755257930383
"Centre — Val de Loire",960500,1052600,0.0915645907110676,1.63290833218637,6.04757808801235
"Champagne-Ardenne",471600,558900,0.169839397612435,1.32363344530551,4.87715311863022
"Corse",33700,58200,0.546387517379076,0.00136326804557472,0.0109249716739086
"Franche-Comté",444500,465000,0.0450873506333966,2.04990868331735,7.59634609591627
"Haute-Normandie",744200,739800,-0.0059299365141694,1.60235377996484,5.9495854424832
"Ile de France",4947300,5167600,0.0435663908833117,0.896695601773012,3.33416221223882
"Languedoc-Roussillon",737500,938800,0.241336375762895,0.698964516873623,2.56470425028581
"Limousin",270700,293600,0.0812071001201051,1.23174479394241,4.53437614524988
"Lorraine",926500,956900,0.0322848470598025,1.66079110322985,6.16223802205154
"Midi-Pyrénées",1036600,1170800,0.121741149062125,1.23223676535672,4.5527393928479
"Nord-Pas de Calais",1394400,1396900,0.00179128052769428,1.44763432630831,5.37422495906433
"Pays de la Loire",1326800,1463300,0.0979241310254828,1.59481747627591,5.89716740181325
"Picardie",693200,770900,0.106240105623765,1.59232809865371,5.89546221447084
"Poitou-Charentes",614600,710500,0.144997297840771,1.25717840216988,4.63201512195537
"Provence-Alpes-Côte d’Azur",1512100,1850700,0.20206453276508,0.716506319030035,2.65125599432176
"Rhône-Alpes",2267500,2565500,0.123475488392728,1.48489926465721,5.50143298119877
